protocol,git_commit,arm,k,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,active_units,overlap_same,overlap_diff,separation,train_seconds
stage1b,9a90e99,kwta_ch_k0.2,0.2,60,600,1,4000,1,0.945,2900,0.9517,206922,0.4034,25.9,0.6879,0.5009,0.187,82.5
stage1b,9a90e99,kwta_ch_k0.4,0.4,60,600,1,1800,0,0.922,600,0.9255,206922,0.3466,51.0,0.7894,0.6896,0.0999,38.7
stage1b,9a90e99,dense,,60,600,2,2600,0,0.9224,1400,0.9264,206922,,68.4,0.8403,0.7587,0.0817,44.5
stage1b,9a90e99,kwta_ch_k0.05,0.05,60,600,2,3000,0,0.926,1800,0.93,206922,0.7045,6.0,0.5655,0.2875,0.278,60.3
stage1b,9a90e99,kwta_ch_k0.1,0.1,60,600,2,2800,0,0.9264,1600,0.9276,206922,0.6477,13.0,0.5868,0.3683,0.2185,56.4
stage1b,9a90e99,kwta_ch_k0.2,0.2,60,600,2,1800,0,0.9376,600,0.9407,206922,0.4205,26.0,0.7247,0.553,0.1717,36.9
stage1b,9a90e99,kwta_ch_k0.4,0.4,60,600,2,2000,0,0.9158,800,0.917,206922,0.3352,51.0,0.8117,0.7117,0.1,41.6
stage1b,9a90e99,dense,,60,600,3,2200,0,0.9264,1000,0.9312,206922,,69.7,0.8808,0.8166,0.0642,37.8
stage1b,9a90e99,kwta_ch_k0.05,0.05,60,600,3,2700,0,0.926,1500,0.9325,206922,0.6477,6.0,0.55,0.2627,0.2873,53.4
stage1b,9a90e99,kwta_ch_k0.1,0.1,60,600,3,3600,0,0.9434,2400,0.9484,206922,0.608,13.0,0.5743,0.3171,0.2572,78.3
stage1b,9a90e99,kwta_ch_k0.2,0.2,60,600,3,4000,1,0.9434,3200,0.9483,206922,0.4489,26.0,0.6565,0.4546,0.2019,89.2
stage1b,9a90e99,kwta_ch_k0.4,0.4,60,600,3,1800,0,0.9212,600,0.9222,206922,0.3636,51.0,0.828,0.739,0.089,40.6
stage1b,9a90e99,dense,,60,600,4,1600,0,0.9168,400,0.9232,206922,,70.9,0.8834,0.8227,0.0607,28.4
stage1b,9a90e99,kwta_ch_k0.05,0.05,60,600,4,2500,0,0.922,1300,0.9295,206922,0.6705,6.0,0.5121,0.2407,0.2714,52.6
stage1b,9a90e99,kwta_ch_k0.1,0.1,60,600,4,3700,0,0.9352,2500,0.9431,206922,0.608,13.0,0.5916,0.3513,0.2403,81.0
stage1b,9a90e99,kwta_ch_k0.2,0.2,60,600,4,3000,0,0.9332,1800,0.9356,206922,0.4545,26.0,0.6328,0.4403,0.1925,61.7
stage1b,9a90e99,kwta_ch_k0.4,0.4,60,600,4,1600,0,0.9134,400,0.9199,206922,0.3239,51.0,0.7779,0.666,0.1119,34.8
stage1b,9a90e99,dense,,300,3000,0,2300,0,0.9696,1100,0.9719,206922,,73.6,0.8271,0.7116,0.1154,39.6
stage1b,9a90e99,kwta_ch_k0.05,0.05,300,3000,0,3800,0,0.9556,2600,0.9587,206922,0.6761,6.0,0.5445,0.2491,0.2954,77.3
stage1b,9a90e99,kwta_ch_k0.1,0.1,300,3000,0,3600,0,0.9652,2400,0.9695,206922,0.5455,12.9,0.5949,0.3367,0.2581,76.7
stage1b,9a90e99,kwta_ch_k0.2,0.2,300,3000,0,2400,0,0.9668,1200,0.969,206922,0.4091,26.0,0.661,0.4776,0.1834,51.5
stage1b,9a90e99,kwta_ch_k0.4,0.4,300,3000,0,3700,0,0.9666,2500,0.9684,206922,0.3068,50.7,0.7632,0.6429,0.1203,80.0
stage1b,9a90e99,dense,,300,3000,1,2600,0,0.966,1400,0.9681,206922,,70.1,0.8229,0.7215,0.1014,45.3
stage1b,9a90e99,kwta_ch_k0.05,0.05,300,3000,1,4000,1,0.9634,4000,0.9646,206922,0.6477,5.9,0.5652,0.2614,0.3038,79.3
stage1b,9a90e99,kwta_ch_k0.1,0.1,300,3000,1,2600,0,0.968,1400,0.9684,206922,0.4943,13.0,0.5941,0.3288,0.2653,54.6
stage1b,9a90e99,kwta_ch_k0.2,0.2,300,3000,1,2300,0,0.9692,1100,0.9681,206922,0.4716,26.0,0.6941,0.519,0.175,50.0
stage1b,9a90e99,kwta_ch_k0.4,0.4,300,3000,1,2100,0,0.9646,900,0.9664,206922,0.3352,50.1,0.7891,0.6848,0.1043,45.4
stage1b,9a90e99,dense,,300,3000,2,2000,0,0.9716,800,0.9683,206922,,68.5,0.7935,0.6719,0.1216,34.9
stage1b,9a90e99,kwta_ch_k0.05,0.05,300,3000,2,2800,0,0.9652,1600,0.963,206922,0.6705,6.0,0.5087,0.2187,0.2899,58.6
stage1b,9a90e99,kwta_ch_k0.1,0.1,300,3000,2,2800,0,0.9704,1600,0.972,206922,0.5739,13.0,0.604,0.3874,0.2166,59.1
stage1b,9a90e99,kwta_ch_k0.2,0.2,300,3000,2,2600,0,0.9756,1400,0.9726,206922,0.4659,24.9,0.6715,0.4809,0.1907,56.9
stage1b,9a90e99,kwta_ch_k0.4,0.4,300,3000,2,4000,1,0.9732,2900,0.9708,206922,0.358,48.0,0.7868,0.6702,0.1165,88.4
stage1b,9a90e99,dense,,300,3000,3,2300,0,0.9686,1100,0.9703,206922,,70.9,0.8055,0.6772,0.1283,40.0
stage1b,9a90e99,kwta_ch_k0.05,0.05,300,3000,3,3000,0,0.9586,1800,0.9546,206922,0.7443,5.8,0.5881,0.2923,0.2958,61.4
stage1b,9a90e99,kwta_ch_k0.1,0.1,300,3000,3,1900,0,0.969,700,0.9637,206922,0.5739,13.0,0.5954,0.3259,0.2695,40.2
stage1b,9a90e99,kwta_ch_k0.2,0.2,300,3000,3,4000,1,0.9716,3100,0.97,206922,0.4659,25.9,0.6983,0.509,0.1894,83.2
stage1b,9a90e99,kwta_ch_k0.4,0.4,300,3000,3,2400,0,0.9678,1200,0.9694,206922,0.3239,48.6,0.7763,0.6507,0.1256,52.8
stage1b,9a90e99,dense,,300,3000,4,2500,0,0.9662,1300,0.9666,206922,,64.8,0.8037,0.6842,0.1195,44.5
stage1b,9a90e99,kwta_ch_k0.05,0.05,300,3000,4,2900,0,0.9632,1700,0.9642,206922,0.625,6.0,0.533,0.2303,0.3027,59.6
stage1b,9a90e99,kwta_ch_k0.1,0.1,300,3000,4,2500,0,0.9688,1300,0.9746,206922,0.4261,13.0,0.5532,0.2851,0.2681,51.5
stage1b,9a90e99,kwta_ch_k0.2,0.2,300,3000,4,4000,1,0.9738,3000,0.975,206922,0.4091,25.5,0.6509,0.4216,0.2293,83.7
stage1b,9a90e99,kwta_ch_k0.4,0.4,300,3000,4,3500,0,0.9632,2300,0.9678,206922,0.3239,50.1,0.7755,0.6456,0.1299,76.5
