protocol,git_commit,arm,dim,boost,shots_per_class,n_train_examples,seed,steps_run,hit_step_cap,best_val_acc,best_val_step,test_acc,n_params,dead_unit_frac,dead_by_layer,active_units,overlap_same,overlap_diff,separation,train_seconds
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,300,3000,2,2200,0,0.953,1000,0.9583,206922,0.4375,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.602}",24.7,0.6166,0.4148,0.2019,54.2
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,300,3000,2,2600,0,0.9756,1400,0.9726,206922,0.4659,"{""conv1"": 0.0, ""conv2"": 0.188, ""fc"": 0.594}",24.9,0.6715,0.4809,0.1907,55.6
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,300,3000,2,1400,0,0.9218,200,0.9293,206922,0.4489,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.609}",26.0,0.7245,0.5403,0.1842,30.1
stage1,e2f99ea-dirty,dense,-,0.0,300,3000,3,2300,0,0.9686,1100,0.9703,206922,,,70.9,0.8055,0.6772,0.1283,39.3
stage1,e2f99ea-dirty,kwta_global,global,0.0,300,3000,3,2200,0,0.961,1000,0.9631,206922,0.483,"{""conv1"": 0.062, ""conv2"": 0.062, ""fc"": 0.641}",25.8,0.6836,0.4994,0.1842,50.3
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,300,3000,3,2500,0,0.9242,1300,0.9268,206922,0.4205,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.57}",24.1,0.6186,0.4242,0.1944,60.4
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,300,3000,3,4000,1,0.9716,3100,0.97,206922,0.4659,"{""conv1"": 0.0, ""conv2"": 0.188, ""fc"": 0.594}",25.9,0.6983,0.509,0.1894,82.6
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,300,3000,3,1600,0,0.8348,400,0.8375,206922,0.4148,"{""conv1"": 0.0, ""conv2"": 0.031, ""fc"": 0.562}",26.0,0.6675,0.4928,0.1747,37.4
stage1,e2f99ea-dirty,dense,-,0.0,300,3000,4,2500,0,0.9662,1300,0.9666,206922,,,64.8,0.8037,0.6842,0.1195,43.9
stage1,e2f99ea-dirty,kwta_global,global,0.0,300,3000,4,2500,0,0.9638,1300,0.9653,206922,0.4659,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.641}",24.6,0.7159,0.5615,0.1544,57.6
stage1,e2f99ea-dirty,kwta_global_boost,global,1.0,300,3000,4,2100,0,0.9582,900,0.9615,206922,0.4148,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.57}",24.8,0.6059,0.4023,0.2036,49.8
stage1,e2f99ea-dirty,kwta_channel,channel,0.0,300,3000,4,4000,1,0.9738,3000,0.975,206922,0.4091,"{""conv1"": 0.062, ""conv2"": 0.031, ""fc"": 0.547}",25.5,0.6509,0.4216,0.2293,81.8
stage1,e2f99ea-dirty,kwta_channel_boost,channel,1.0,300,3000,4,2600,0,0.8762,1400,0.8834,206922,0.3466,"{""conv1"": 0.0, ""conv2"": 0.0, ""fc"": 0.477}",24.6,0.5876,0.3645,0.2231,54.4
